Complaint_No,Weapon_Type
20110101000700,Razor                                   
20110101002405,Handgun                                 
20110101003403,"Blunt Object(club,hammer,etc)           "
20110101005700,"Personal Weapons (hands,feet,teeth,etc.)"
20110101005703,Unknown/Not Stated                      
20110101005902,"Personal Weapons (hands,feet,teeth,etc.)"
20110101010000,Other Weapon                            
20110101010200,Handgun                                 
20110101010200,"Personal Weapons (hands,feet,teeth,etc.)"
20110101010800,Not Applicable/None                     
20110101010803,"Personal Weapons (hands,feet,teeth,etc.)"
20110101011806,Handgun                                 
20110101015404,"Personal Weapons (hands,feet,teeth,etc.)"
20110101020900,"Personal Weapons (hands,feet,teeth,etc.)"
20110101020902,Handgun                                 
20110101021404,"Personal Weapons (hands,feet,teeth,etc.)"
20110101022000,Other Weapon                            
20110101022201,Handgun                                 
20110101022402,Handgun                                 
20110101024902,Other Weapon                            
20110101025300,"Personal Weapons (hands,feet,teeth,etc.)"
20110101030600,"Blunt Object(club,hammer,etc)           "
20110101030600,Other Cutting Instrument                
20110101031101,"Blunt Object(club,hammer,etc)           "
20110101034000,"Personal Weapons (hands,feet,teeth,etc.)"
20110101034000,Other Weapon                            
20110101034101,"Personal Weapons (hands,feet,teeth,etc.)"
20110101035000,"Personal Weapons (hands,feet,teeth,etc.)"
20110101035900,"Personal Weapons (hands,feet,teeth,etc.)"
20110101043400,Handgun                                 
20110101045204,"Personal Weapons (hands,feet,teeth,etc.)"
20110101062800,Not Applicable/None                     
20110101083100,Not Applicable/None                     
20110101092400,Handgun                                 
20110101093004,"Personal Weapons (hands,feet,teeth,etc.)"
20110101094401,"Personal Weapons (hands,feet,teeth,etc.)"
20110101094503,"Personal Weapons (hands,feet,teeth,etc.)"
20110101103402,"Personal Weapons (hands,feet,teeth,etc.)"
20110101111003,"Personal Weapons (hands,feet,teeth,etc.)"
20110101112900,Shotgun                                 
20110101113302,Knife                                   
20110101113302,Not Applicable/None                     
20110101115101,Other Firearm                           
20110101123700,"Personal Weapons (hands,feet,teeth,etc.)"
20110101124000,"Personal Weapons (hands,feet,teeth,etc.)"
20110101124801,Other Weapon                            
20110101130000,Not Applicable/None                     
20110101130500,"Personal Weapons (hands,feet,teeth,etc.)"
20110101130700,"Personal Weapons (hands,feet,teeth,etc.)"
20110101133300,"Personal Weapons (hands,feet,teeth,etc.)"
20110101135400,"Personal Weapons (hands,feet,teeth,etc.)"
20110101144002,"Personal Weapons (hands,feet,teeth,etc.)"
20110101145501,Handgun                                 
20110101151501,Handgun                                 
20110101162001,"Personal Weapons (hands,feet,teeth,etc.)"
20110101171400,"Personal Weapons (hands,feet,teeth,etc.)"
20110101174901,"Personal Weapons (hands,feet,teeth,etc.)"
20110101191302,"Personal Weapons (hands,feet,teeth,etc.)"
20110101191901,"Personal Weapons (hands,feet,teeth,etc.)"
20110101191901,"Blunt Object(club,hammer,etc)           "
20110101200400,Other Weapon                            
20110101201100,Handgun                                 
20110101204600,"Personal Weapons (hands,feet,teeth,etc.)"
20110101205700,Undetermined Firearm                    
20110101212900,"Personal Weapons (hands,feet,teeth,etc.)"
20110101213502,"Personal Weapons (hands,feet,teeth,etc.)"
20110101215500,"Personal Weapons (hands,feet,teeth,etc.)"
20110101215900,Other Weapon                            
20110101215900,"Personal Weapons (hands,feet,teeth,etc.)"
20110101221900,Handgun                                 
