Street_Address,Zipcode,X_Coordinate,Y_Coordinate,NIBRS_Hi_Class,HighRisk
   INTERURBAN                               AV,28208,1431508,554267,Motor Vehicle Theft,0
   SPRINGMONT                               LN,28208,1427405,557580,Motor Vehicle Theft,0
   SCOTT FUTRELL                            DR,28208,1425917,546914,Motor Vehicle Theft,0
   LISBON                                   LN,28269,1463794,564750,Motor Vehicle Theft,0
   PERIMETER STATION                        DR,28269,1447340,585770,Motor Vehicle Theft,0
   JORDANS POND                             LN,28214,1423483,566774,Motor Vehicle Theft,0
E  INDEPENDENCE                             BV,28212,1477862,522932,Motor Vehicle Theft,0
N  CALDWELL                                 ST,28202,1451678,542269,Motor Vehicle Theft,0
   MAGNOLIA HILL                            DR,28205,1470918,543000,Motor Vehicle Theft,0
S  COLLEGE                                  ST,28202,1449355,542073,Motor Vehicle Theft,0
   SCALEYBARK                               RD,28209,1443247,526701,Motor Vehicle Theft,0
   THRIFTWOOD                               DR,28208,1431910,553890,Motor Vehicle Theft,0
   SETHS                                    DR,28269,1461640,570178,Motor Vehicle Theft,0
   LEIGH                                    CR,28216,1434683,571775,Motor Vehicle Theft,0
   HENSLOWE                                 LN,28262,1494420,577858,Motor Vehicle Theft,0
   KILCULLEN                                DR,28270,1474707,510510,Motor Vehicle Theft,0
   PEACEHAVEN                               DR,28208,1420675,555803,Motor Vehicle Theft,0
   COLWICK                                  RD,28211,1462562,524686,Motor Vehicle Theft,0
   KIMMERLY WOODS                           DR,28212,1484153,541954,Motor Vehicle Theft,0
   DEVON CROFT                              LN,28269,1470456,580360,Motor Vehicle Theft,0
   HEATHERS MIST                            AV,28213,1482040,566024,Motor Vehicle Theft,0
   COCHRANE                                 DR,28269,1449262,564995,Motor Vehicle Theft,0
   PERFORMANCE                              RD,28214,1407865,554628,Motor Vehicle Theft,0
   REMOUNT                                  RD,28208,1437354,538823,Motor Vehicle Theft,0
   BONLYN                                   DR,28227,1484742,531695,Motor Vehicle Theft,0
   MEADECROFT                               RD,28208,1416617,565817,Motor Vehicle Theft,0
   PIKE                                     RD,28262,1475234,571132,Motor Vehicle Theft,0
   LAUREN'S RIDGE                           RD,28273,1413323,504534,Motor Vehicle Theft,0
   BENT TREE                                CT,28212,1481293,535605,Motor Vehicle Theft,0
   BARRINGTON                               DR,28215,1479511,546055,Motor Vehicle Theft,0
   GATEWOOD                                 DR,28208,1432045,555972,Motor Vehicle Theft,0
   PHEASANT GLEN                            RD,28214,1412673,559037,Motor Vehicle Theft,0
   ARROWRIDGE                               BV,28273,1429572,509851,Motor Vehicle Theft,0
   BELLE VERNON                             AV,28210,1442507,513453,Motor Vehicle Theft,0
   CLEMSON                                  AV,28205,1461746,547176,Motor Vehicle Theft,0
   GOOSEBERRY                               RD,28208,1428207,552307,Motor Vehicle Theft,0
W  CRAIGHEAD                                RD,28216,1462043,554882,Motor Vehicle Theft,0
   STATESVILLE                              RD,28217,1451170,568473,Motor Vehicle Theft,0
   TRAILER                                  DR,28269,1459874,561268,Motor Vehicle Theft,0
   BRENTMOORE                               DR,28262,1475879,570882,Motor Vehicle Theft,0
   CRADDOCK                                 AV,28208,1430265,538288,Motor Vehicle Theft,0
   GREEN MEADOW                             DR,28269,1458612,569169,Motor Vehicle Theft,0
N  TRYON                                    ST,28206,1458013,550755,Motor Vehicle Theft,0
   CENTRAL                                  AV,28205,1456568,540873,Motor Vehicle Theft,0
   OAKLAWN                                  AV,28206,1450530,549923,Motor Vehicle Theft,0
   AMITY SPRINGS DR                           ,28212,1474324,532028,Motor Vehicle Theft,0
   CENTRAL                                  AV,28205,1474353,536674,Motor Vehicle Theft,0
   THOMAS                                   AV,28205,1459215,542354,Motor Vehicle Theft,0
   EDISON                                   ST,28206,1453574,551134,Motor Vehicle Theft,0
   FOREST OAK                               DR,28209,1443925,524150,Motor Vehicle Theft,0
   EDISON                                   ST,28206,1453416,551591,Motor Vehicle Theft,0
   OAKLAWN                                  AV,28206,1450361,549989,Motor Vehicle Theft,0
   LASALLE                                  ST,28206,1443945,555614,Motor Vehicle Theft,0
   RIDGE CLIFF                              DR,28269,1467872,579506,Motor Vehicle Theft,0
   KIMMSWICK                                RD,28214,1418646,567592,Motor Vehicle Theft,0
   CHESHIRE                                 AV,28208,1432306,551683,Motor Vehicle Theft,0
   BELLEFONTE                               DR,28206,1457309,551275,Motor Vehicle Theft,0
   ORR                                      RD,28213,1473754,556062,Motor Vehicle Theft,0
W  WOODLAWN                                 RD,28226,1437442,525760,Motor Vehicle Theft,0
   LOUISE                                   AV,28205,1456790,541859,Motor Vehicle Theft,0
   THE PLAZA                                  ,28205,1462439,546435,Motor Vehicle Theft,0
   HANKINS                                  RD,28216,1453190,584408,Motor Vehicle Theft,0
   REID                                     AV,28208,1433213,534521,Motor Vehicle Theft,0
   NORTHSTREAM                              DR,28208,1427838,549336,Motor Vehicle Theft,0
   SUNRIDGE                                 LN,28215,1481033,545820,Motor Vehicle Theft,0
   COMMONWEALTH                             AV,28205,1464396,535701,Motor Vehicle Theft,0
E  INDEPENDENCE                             BV,28205,1456722,539414,Motor Vehicle Theft,0
   FRUEHAUF                                 DR,28273,1414071,507824,Motor Vehicle Theft,0
E  BLAND                                    ST,28203,1446319,538794,Motor Vehicle Theft,0
   CENTURY OAKS                             LN,28215,1466522,566611,Motor Vehicle Theft,0
N  ALEXANDER                                ST,28202,1453526,542617,Motor Vehicle Theft,0
   HAMILTON                                 ST,28202,1448660,547640,Motor Vehicle Theft,0
W  5TH                                      ST,28202,1448866,544400,Motor Vehicle Theft,0
   ARLINGTON                                AV,28203,1446774,539096,Motor Vehicle Theft,0
   FELDBANK                                 DR,28216,1446055,577576,Motor Vehicle Theft,0
   ARBORWOOD                                DR,28208,1430280,550282,Motor Vehicle Theft,0
   HUNTER OAKS                              LN,28213,1468031,561407,Motor Vehicle Theft,0
   CLARENCE                                 ST,28208,1439236,557173,Motor Vehicle Theft,0
   REMOUNT                                  RD,28208,1437711,540138,Motor Vehicle Theft,0
N  TRYON                                    ST,28213,1470962,555543,Motor Vehicle Theft,0
   ENWOOD                                   DR,28214,1419575,568711,Motor Vehicle Theft,0
   PAWLEY                                   DR,28214,1408560,572613,Motor Vehicle Theft,0
S  85 IN,28269,1452658,559291,Motor Vehicle Theft,0
   VILLAGE GREEN                            DR,28215,1478831,545647,Motor Vehicle Theft,0
   WINTER HAZEL                             RD,28273,1403387,498324,Motor Vehicle Theft,0
   MCALWAY                                  RD,28211,1464352,529253,Motor Vehicle Theft,0
